time,vehicle_id,x,y
97,42,-495.41,44.71
98,42,-493.08,44.48
99,42,-488.18,43.99
100,42,-481.42,43.31
101,42,-472.45,42.42
102,42,-461.62,41.33
103,42,-448.53,40.03
103,45,-495.41,44.71
104,42,-435.36,38.71
104,45,-493.75,44.55
105,42,-421.64,37.34
105,45,-490.05,44.18
106,42,-409.0,36.07
106,45,-484.93,43.67
107,42,-395.85,34.76
107,45,-478.49,43.02
108,42,-383.0,33.47
108,45,-470.1,42.18
108,47,-495.41,44.71
109,42,-369.69,32.14
109,45,-460.35,41.21
109,47,-493.04,44.48
110,42,-356.11,30.78
110,45,-449.1,40.08
110,47,-489.09,44.08
111,42,-342.98,29.47
111,45,-436.04,38.78
111,47,-483.54,43.53
112,42,-329.78,28.15
112,45,-422.86,37.46
112,47,-475.72,42.74
113,42,-316.93,26.87
113,45,-408.81,36.05
113,47,-465.87,41.76
114,42,-303.61,25.54
114,45,-395.74,34.75
114,47,-453.61,40.53
115,42,-289.89,27.38
115,45,-382.33,33.41
115,47,-441.17,39.29
116,42,-276.48,26.04
116,45,-368.43,32.02
116,47,-427.89,37.96
117,42,-263.84,24.78
117,45,-355.44,30.72
117,47,-415.11,36.68
118,42,-251.06,23.5
118,45,-341.62,29.34
118,47,-401.92,35.37
119,42,-237.57,22.15
119,45,-328.17,27.99
119,47,-389.3,34.1
120,42,-224.91,20.88
120,45,-314.86,26.66
120,47,-375.89,32.76
121,42,-211.68,19.56
121,45,-301.04,28.5
121,47,-363.17,31.49
122,42,-198.54,18.25
122,45,-288.2,27.21
122,47,-350.41,30.21
123,42,-185.02,16.89
123,45,-274.35,25.83
123,47,-337.75,28.95
124,42,-172.26,15.62
124,45,-261.54,24.55
124,47,-324.75,27.65
125,42,-159.35,14.33
125,45,-247.6,23.15
125,47,-311.87,26.36
126,42,-146.23,13.01
126,45,-233.59,21.75
126,47,-298.25,28.22
127,42,-133.19,11.71
127,45,-220.76,20.47
127,47,-285.1,26.9
128,42,-120.45,10.43
128,45,-206.96,19.09
128,47,-272.08,25.6
129,42,-106.72,9.06
129,45,-194.02,17.79
129,47,-259.13,24.3
130,42,-93.73,7.76
130,45,-180.76,16.47
130,47,-245.78,22.97
131,42,-80.87,6.48
131,45,-166.78,15.07
131,47,-233.05,21.7
132,42,-67.57,5.15
132,45,-153.28,13.72
132,47,-220.73,20.46
133,42,-54.56,3.85
133,45,-139.55,12.35
133,47,-208.21,19.21
134,42,-41.38,2.53
134,45,-126.41,11.03
134,47,-195.19,17.91
135,42,-28.57,1.25
135,45,-113.55,9.74
135,47,-182.76,16.67
136,42,-19.16,0.31
136,45,-100.57,8.45
136,47,-169.74,15.36
137,42,-14.13,-0.2
137,45,-87.21,7.11
137,47,-157.06,14.1
138,42,-12.16,-0.4
138,45,-73.76,5.77
138,47,-144.51,12.84
139,42,-11.7,-0.44
139,45,-60.44,4.43
